UpDown,lag1return,lag2return,lag3return,lag4return,lag5return
1,-0.001651564,0.002712061,0.005808185,-0.003257965,0.003132991
0,0.013364079,-0.001651564,0.002712061,0.005808185,-0.003257965
0,-0.0359198,0.013364079,-0.001651564,0.002712061,0.005808185
1,-0.018096502,-0.0359198,0.013364079,-0.001651564,0.002712061
1,0.017770165,-0.018096502,-0.0359198,0.013364079,-0.001651564
1,0.017032673,0.017770165,-0.018096502,-0.0359198,0.013364079
1,0.013565044,0.017032673,0.017770165,-0.018096502,-0.0359198
0,0.001948602,0.013565044,0.017032673,0.017770165,-0.018096502
1,-0.006847477,0.001948602,0.013565044,0.017032673,0.017770165
0,0.005352963,-0.006847477,0.001948602,0.013565044,0.017032673
1,-0.000871578,0.005352963,-0.006847477,0.001948602,0.013565044
1,0.015253349,-0.000871578,0.005352963,-0.006847477,0.001948602
1,0.003408616,0.015253349,-0.000871578,0.005352963,-0.006847477
1,0.007009293,0.003408616,0.015253349,-0.000871578,0.005352963
1,0.000134768,0.007009293,0.003408616,0.015253349,-0.000871578
0,0.005259204,0.000134768,0.007009293,0.003408616,0.015253349
1,-0.000928947,0.005259204,0.000134768,0.007009293,0.003408616
0,0.002382295,-0.000928947,0.005259204,0.000134768,0.007009293
1,-0.001435174,0.002382295,-0.000928947,0.005259204,0.000134768
0,0.004270301,-0.001435174,0.002382295,-0.000928947,0.005259204
1,-0.003612529,0.004270301,-0.001435174,0.002382295,-0.000928947
0,0.004553965,-0.003612529,0.004270301,-0.001435174,0.002382295
1,-0.003011475,0.004553965,-0.003612529,0.004270301,-0.001435174
0,0.000322785,-0.003011475,0.004553965,-0.003612529,0.004270301
1,-0.001198542,0.000322785,-0.003011475,0.004553965,-0.003612529
1,0.001606209,-0.001198542,0.000322785,-0.003011475,0.004553965
0,0.001631309,0.001606209,-0.001198542,0.000322785,-0.003011475
0,-0.001269787,0.001631309,0.001606209,-0.001198542,0.000322785
1,-0.00636162,-0.001269787,0.001631309,0.001606209,-0.001198542
1,0.003133943,-0.00636162,-0.001269787,0.001631309,0.001606209
1,0.000212572,0.003133943,-0.00636162,-0.001269787,0.001631309
0,0.008603496,0.000212572,0.003133943,-0.00636162,-0.001269787
1,-0.000907165,0.008603496,0.000212572,0.003133943,-0.00636162
0,0.000389794,-0.000907165,0.008603496,0.000212572,0.003133943
1,-0.002864686,0.000389794,-0.000907165,0.008603496,0.000212572
0,0.004734588,-0.002864686,0.000389794,-0.000907165,0.008603496
